Number,Group,Margin and orogen,Where,Start date (Ma),End date (Ma),Lifespan (m.y.),Quality,High-P metamorphism?,Foredeep magmatism?,Length (km)
A1,1,Arctic Alaska microcontinent<comma> S side<comma> Brookian orogen,Alaska<comma> Russia,350,170,180,A,Y,N,1230
A2,1,Farewell terrane,Alaska,545,435,110,C,N,N,460
A3,1,Laurentian craton<comma> W side<comma> northern sector<comma> Antler orogen,Canada,710,385,325,B,N,Y,1560
A4,1,Laurentian craton<comma> W side<comma> southern sector<comma> Antler orogen,USA<comma> Canada,542,357,185,A,N,Y,1870
A5,1,Laurentian craton<comma> N side<comma> Innuitian margin<comma> Ellesmerian orogen,Canada<comma> Greenland,620,444,180,C,N,N,1900
A6,1,Slave craton<comma> W side<comma> Wopmay orogen,Canada,2015,1883,132,A,N,Y,560
A7,1,Slave craton<comma> E side<comma> Kimerot platform<comma> Thelon orogen,Canada,2090,1970,120,C,N,N,630
A8,1,Laurentian craton<comma> N side<comma> Borden Basin<comma> Poseidon orogen,Canada,1255,1200,55,C,N,N,270
A9,1,Hearn craton<comma> SE side,Canada,2070,1880,190,B,N,Y,820
A10,3,Steep Rock Lake platform<comma> Superior Craton<comma> Wabigoon Province,Canada,Unk (< 3002),Unk (< 2870),Unk,D,N,N,15
A11,1,Wyoming Craton<comma> S side<comma> Medicine Bow orogen,USA,2000,1780,220,B,N,N,310
A12,1,Superior craton<comma> S side<comma> Huronian margin<comma> Penokean orogen,Canada<comma> USA,2300,2065,235,C,N,NA,1170
A13,1,Superior craton<comma> S side<comma> Animike margin<comma> Penokean orogen,Canada<comma> USA,2065,1880,185,B,N,Y,1170
A14,1,Superior Craton<comma> N side<comma> Cape Smith and Trans-Hudson orogens,Canada,2000,1875,125,B,N,Y,370
A15,1,Superior craton<comma> E side<comma> New Quebec orogen e (‰ÛÏLabrador Trough‰Ûù),Canada,2135,1890,245,B,N,Y,960
A16,2,Nain craton<comma> W margin<comma> Torngat orogen,Canada,Unk (> 1876),1859,Unk,D,N,N,290
A17,1,Nain Craton<comma> N side<comma> Makkovik orogen,Canada,2175,2010,165,C,N,N,110
A18,1,Laurentian craton<comma> S side<comma> Ouachita orogen,USA,520,310,210,A,N,N,1720
A19 (a<comma> b),1,Laurentian craton<comma> E side<comma> Appalachian margin<comma> Taconic orogen (a) and NW Scotland (b),USA<comma> Canada,540,465,75,A,Y,Y,3320
A20 (a<comma>b),1,Laurentian craton<comma> E side<comma> E Greenland (a) and NE Svalbard (a),Greenland<comma> Svalbard,815,444,370‰Å_,C,Y,N,1740
A21,1,Baltic Craton<comma> W side<comma> Scandinavian Caledonide orogen,Norway,605,505,100,A,Y,N,1550
A22,1,Kola craton<comma> S side<comma> Kola suture belt,Russia,1970,1800,170,B,N,N,690
A23,1,Baltic craton<comma> N side<comma> Timanides,Russia,1000,560,440,C,N,N,1460
A24,1,Baltic craton<comma> E side<comma> Uralian orogen<comma> Phase 1,Russia,1000,620,380,B,Y,N,1000
A25,1,Baltic Craton<comma> E side<comma> Uralian orogen<comma> Phase 2,Russia,477,376,101,A,N,N,3130
A26,1,Baltic craton<comma> S side<comma> Variscan orogen,Ireland to Poland,407,347,60,A,Y,Y,1080
A27,1,Saxo-Thuringian block,Germany,444,344,100,B,N,N,400
A28,1,S margin of Europe<comma> Alpine orogen,Switzerland,170,43,127,A,Y,N,790
A29,1,Pyreneean-Biscay margin of Iberia,Spain,115,70,45,A,N,N,390
A30,1,NW Iberia<comma> Variscan orogen,Spain,475,385,90,B,N,Y,210
A31,1,Apulian microcontinent<comma> Pindos ocean,Greece,230,60,170,A,Y,N,630
A32,1,Isparta angle<comma> western margin,Turkey,227,60,167,A,Y,N,280
A33,1,Isparta angle<comma> eastern margin,Turkey,227,53,174,A,Y,N,260
A34,1,Arabia<comma> NE margin<comma> Oman-Zagros orogen,Oman<comma> Iran,272,87,185,A,Y,N,2300
A35,1,Alborz orogen,Iran,390,210,170,B,N,N,550
A36,2,Siberian craton<comma> N side<comma> Taymyr<comma> Phase 1,Russia,> 750,600,> 150,D,N,N,1380
A37,1,Siberian craton<comma> N side<comma> Taymyr<comma> Phase 2,Russia,530,325,205,B,N,N,1380
A38,1,Siberian craton<comma> W side<comma> Yenisei Ridge,Russia,1350,850,500,C,N,N,1910
A39,3,Gargan microcontinent<comma> W side,Russia<comma> Mongolia,Neoprot.,Neoprot,Unk,D,N,N,150
A40,1,Siberian craton<comma> S side<comma> Baikal,Russia,1000,600,400,C,N,N,1160
A41,1,Dzabkhan block,Mongolia,710,580,130,B,N,N,200
A42,3,Idermeg terrane,Mongolia,Neoprot.,Mid-Camb.,Unk,D,N,N,300
A43,1,Karakorum block,Pakistan,268,193,75,B,N,N,500
A44,1,Tarim microcontinent<comma> N side<comma> Tien Shan orogen,China,600,380,220,C,N,N,1320
A45,1,Tarim microcontinent<comma> S side<comma> Kunlun orogen,China,600,430,170,B,N,N,950
A46,1,Indian craton<comma> N side<comma> Himalayan orogen<comma> Phase 1,India<comma> Nepal,635,502,133,A,N,N,2460
A47,1,Indian craton<comma> N side<comma> Himalayan orogen<comma> Phase 2,India<comma> Nepal,271,52,219,A,Y,N,2460
A48,1,Aravelli-Delhi orogen,India,2000,1800,200,C,N,N,740
A49,1,South China Craton<comma> NW side<comma> Longmen Shan orogen<comma> Phase 1 (ended by re-rifting),China,600,300,300,C,N,NA,480
A50,1,South China Craton<comma> NW side<comma> Longmen Shan orogen<comma> Phase 2,China,300,228,72,B,N,N,480
A51,1,North China craton<comma> Central orogenic belt,China,2740,2530,210,C,N,N,900
A52,1,South China Craton<comma> N side<comma> Qinling‰ÛÒDabie orogen<comma> Phase 1,China,750,440,310,C,N,N,560
A53,1,South China Craton<comma> N side<comma> Qinling‰ÛÒDabie orogen (2),China,360,235,125,C,Y,N,560
A54,1,South China craton<comma> SE side<comma> Nanling orogen,China,635,445,190,B,N,N,1730
A55,1,China<comma> E side<comma> Taiwan orogen,Taiwan,28,5,23,A,Y,Y,500
A56,1,Siberian craton<comma> E side<comma> Verkhoyansk orogen<comma> Phase 1,Russia,1600,1010,590,C,N,Y,1700
A57,1,Siberia<comma> E side<comma> Verkhoyansk<comma> Phase 2 (ended by re-rifting),Russia,650,380,270,C,N,NA,1700
A58,1,Siberia<comma> E side<comma> Verkhoyansk<comma> Phase 3,Russia,380,160,220,C,N,N,1700
A59,1,Guaniguanico terrane,Cuba,159,80,79,A,N,N,150
A60,1,S. American Craton<comma> N side<comma> Venezuela margin,Venezuela,159,34,125,A,Y,N,1080
A61,1,Amazon craton<comma> SE side<comma> Araras margin<comma> Paraguay orogen,Brazil,640,580,60,B,N,N,470
A62,1,Cuyania terrane<comma> Argentine Precordillera<comma> E side,Argentina,530,473,57,A,N,N,640
A63,1,Sao Francisco craton<comma> W side<comma> Brasiliano orogen,Brazil,745,640,105,B,N,N,1080
A64,1,Sao Francisco craton<comma> E side<comma> Aracauai‰ÛÒRibeira orogen,Brazil,900,590,310,B,N,N,750
A65,1,Sao Francisco craton<comma> S side<comma> Transamazonian orogen,Brazil,2500,2130,370,C,N,N,200
A66 (a<comma>b<comma>c),1,Sierra de la Ventana (a)<comma> Cape (b)<comma> and Ellsworth Mtns. (c),Argentina<comma> S. Africa<comma> Antacrtica,500,300,200,B,N,N,2170
A67,1,West African craton<comma> N side<comma> Anti-Atlas orogen,Morocco,800,580,220,C,N,N,560
A68,1,West African craton<comma> W side<comma> Mauritanide orogen,Mauritania,675,650,25,C,N,N,1692
A69,1,West African craton<comma> E side<comma> Dahomeyide orogen,Ghana<comma> Mali,775,625,150,C,Y,N,2200
A70,2,LATEA craton<comma> Hoggar<comma> W side,Algeria<comma> Mali,Unk,870,Unk,D,NA,NA,840
