Index,Present-day location,Name of continetal arc,Onset time [Ma],Termination time [Ma],Duration [Myr],Type,Group,max length [km],min length [km],ave/pref. length [km],length note,Upper plate,Subduted plate(ocean),Note,References
1,,Saldanian,600,510,90,accretionary,peri-Gondwana,1300,1300,1300,,Africa,Adamastor ocean,transpressive margin,Rozendaal et al. (1999); Cawood and Buchan (2007)
2,,South Africa-Namibia,300,290,10,accretionary,peri-Gondwana,2400,2400,2400,,Africa,paleo-Pacific,rhyolitic tuff in seds layer in Carboniferous-Permian Dwyka Group in southern Namibia and South Africa,Bangert et al. (1999); Cawood and Buchan (2007)
3,,East African,800,660,140,collisional,Pan-Africa,7400,3700,5550,,west Gondwana,Mozambique ocean,"closure of Mozambique ocean between eastern africa and a collage of continental blocks (Madagascar, Sri Lanka, Seychelles, Indai, East Antarctica)",Meert (2003); Collins and Pisarevsky (2005)
4,,Damara-Kuunga,650,550,100,collisional,Pan-Africa,7200,3600,5400,,Congo,Adamastor ocean,closure of ocean between Australia-E. Antarctica and rest of Gondwana,Kr_ner and Stern (2004); Meert (2003)
5,,Trans-Sahara (western subduction),680,620,60,collisional,Pan-Africa,3300,1650,2475,,Cratonized early arc,Pharusian ocean,close of Trans-Sahara ocean between West Africa and Sahara metacraton,Kr_ner and Stern (2004); Caby (2003)
6,,Trans-Sahara (Pharusian subduction),690,650,40,collisional,Pan-Africa,3300,1650,2475,,Cratonized early arc,Pharusian ocean,close of Trans-Sahara ocean between West Africa and Sahara metacraton,Kr_ner and Stern (2004); Caby (2003)
7,,Delamerian,550,480,70,accretionary,peri-Gondwana,3900,-,3900,,Australia,paleo-Pacific,same timing as Ross arc,Foster and Gray (2000); Coney (1992); Cawood (2005)
8,,Lachlan (Ordivician-Silurian),450,420,30,accretionary,peri-Gondwana,3500,1900,2700,,Australia,paleo-Pacific,,Foster and Gray (2000); Coney (1992); Cawood (2005)
9,,Lachlan (Devonian),420,380,40,accretionary,peri-Gondwana,1900,900,1400,,Australia,paleo-Pacific,,Foster and Gray (2000); Coney (1992); Cawood (2005)
10,,Lachlan (Carboniferous),360,310,50,accretionary,peri-Gondwana,2500,2500,2500,,Australia,paleo-Pacific,,Foster and Gray (2000); Coney (1992); Cawood (2005)
11,,New England (Permian),300,250,50,accretionary,peri-Gondwana,2600,2600,2600,,Australia,paleo-Pacific,"Retreating margin, new arcs developed to the east of the previous ones, both I and S type granite",Cawood et al. (2011); Cawood (2005)
12,,New England (Triassic),250,230,20,accretionary,peri-Gondwana,1800,400,1100,,Australia,paleo-Pacific,"Retreating margin, new arcs developed to the east of the previous ones",Cawood et al. (2011); Cawood (2005)
13,,New Zealand (early Paleozoic),500,490,10,accretionary,peri-Gondwana,240,-,240,,Zealandia,paleo-Pacific,related to Ross/Delamerian arcs,Allibone et al. (2009); Scott et al. (2009)
14,,New Zealand (late Paleozoic),370,320,50,accretionary,peri-Gondwana/Circum-Pacific,240,-,240,,Zealandia,paleo-Pacific,,Allibone et al. (2009); Scott et al. (2009)
15,,New Zealand (Mesozoic),170,120,50,accretionary,Circum-Pacific,240,-,240,,Zealandia,Pacific,,Allibone et al. (2009); Scott et al. (2009)
16,,Ross,590,480,110,accretionary ,Circum-Pacific,3400,-,3400,,Antarctica,paleo-Pacific,preseved at Transantarctic Mountains; start as early as 560-580 Ma,Goodge (2007); Cawood and Buchan (2007); Goodge et al. (2012)
17,,Antarctic Peninsula (Jurassic),200,145,55,accretionary ,Circum-Pacific,900,900,900,,Antarctica,Pacific,,Leat et al. (1995); Herv_ et al. (2006)
18,,Antarctic Peninsula (Cretaceous),145,66,79,accretionary ,Circum-Pacific,1800,1800,1800,,Antarctica,Pacific,,Leat et al. (1995); Herv_ et al. (2006)
19,,Antarctic Peninsula (Paleocene),66,50,16,accretionary ,Circum-Pacific,600,600,600,,Antarctica,Pacific,trenchward migration in Cenozoic,Leat et al. (1995); Herv_ et al. (2006)
20,,Marie Byrd land (Permian),280,270,10,accretionary ,peri-Gondwana/Circum-Pacific,1000,-,1000,,Antarctica,Pacific,,Pankhurst et al. (1998); Pankhurst et al. (2000)
21,,Marie Byrd land (Devonian-Carboniferous),375,340,35,accretionary ,peri-Gondwana/Circum-Pacific,1000,-,1000,,Antarctica,Pacific,"in Marie Byrd Land, Antarctica",Pankhurst et al. (1998); Pankhurst et al. (2000)
22,,Marie Byrd land (Ordivician-Silurian-Devonian),450,420,30,accretionary ,peri-Gondwana/Circum-Pacific,700,700,700,,Antarctica,Pacific,,Pankhurst et al. (1998); Pankhurst et al. (2000)
23,,Brasiliano,900,650,250,collisional,Pan-Africa,3800,1900,2850,,various cratons in S. America,Brazilides ocean,closure of Brazilides ocean between west Gondwana and Brazil cratons,Brito Neves (1999); Pimentel et al. (2011)
24,,Pampeanas,530,515,15,accretionary ,peri-Gondwana,700,700,700,,S. America,paleo-Pacific,closure of Puncovisacn Ocean (accretion of the Pampean terrane previously rifted from Gondwana margin) ,Rapela et al. (1998); Cawood and Buchan (2007)
25,,Famatinian,490,460,30,accretionary ,peri-Gondwana,650,650,650,,S. America,paleo-Pacific,,Rapela et al. (1998); Cawood and Buchan (2007)
26,,Chilenia Frontal Cordilleran arc (Carboniferous),350,300,50,accretionary ,Circum-Pacific,900,900,900,,S. America,Pacific,"accretion of Gondwana-origin terranes (e.g. Chilenia terrane, 28 S to 31 S), continental arc magmatism started in different time in differen sections of S. America see Lopez-Gamudi and Beritkreuz, 1997)",Mpodozie and Kay (1992); Vaughan and Pankhurst (1998); Cawood and Buchan (2007)
27,,Peru (Permian)+Chilenia (Permian),300,250,50,accretionary ,Circum-Pacific,1700,1700,1700,,S. America,Pacific,include Premian Peru (1000km ) and Chilenia (500km),Lancelot et al. (1978); Mpodozie and Kay (1992); Vanghan and Pankhurst (1998); Cawood and Buchan (2007)
28,,S.A. Cordilleran (Triassic),250,200,50,accretionary,Circum-Pacific,3800,3800,3800,,S. America,Pacific,,Paterson and Ducea (2015); Ramos and Kay (2006)
29,,S.A. Cordilleran (Jurassic),200,145,55,accretionary,Circum-Pacific,7500,4500,6000,,S. America,Pacific,,Bustamante et al. (2016); Paterson and Ducea (2015); Ramos and Kay (2006)
30,,S.A. Cordilleran (Cretaceous),145,66,79,accretionary,Circum-Pacific,7600,7600,7600,,S. America,Pacific,,Bustamante et al. (2016); Paterson and Ducea (2015); Ramos and Kay (2006)
31,,S.A. Cordilleran (Palegene),66,23,42,accretionary,Circum-Pacific,4800,4800,4800,,S. America,Pacific,,Paterson and Ducea (2015); Ramos and Kay (2006)
32,,S.A. Cordilleran (Neogene-presentday),23,0,22,accretionary,Circum-Pacific,4700,4700,4700,,S. America,Pacific,,"Allmendinger et al. (1997);DeCelles et al.,(2015)"
33,,N.A. Cordilleran (Triassic),250,200,50,accretionary,Circum-Pacific,3600,3600,3600,,N. America,Pacific,,Burchfiel and Davis (1975); Anderson (1990); Armstrong and Ward (1993); Dickinson (2004); Paterson and Ducea (2015); Yonkee and Weil (2015)
34,,N.A. Cordilleran (Jurassic),200,145,55,accretionary,Circum-Pacific,5000,5000,5000,,N. America,Pacific,,Burchfiel and Davis (1975); Anderson (1990); Armstrong and Ward (1993); Dickinson (2004); Paterson and Ducea (2015); Yonkee and Weil (2015)
35,,N.A. Cordilleran (Cretaceous),145,66,79,accretionary,Circum-Pacific,9500,9500,9500,,N. America,Pacific,,Burchfiel and Davis (1975); Anderson (1990); Armstrong and Ward (1993); Dickinson (2004); Paterson and Ducea (2015); Yonkee and Weil (2015)
36,,N.A. Cordilleran (Palegene),66,23,42,accretionary,Circum-Pacific,5500,5500,5500,,N. America,Pacific,,Burchfiel and Davis (1975); Anderson (1990); Armstrong and Ward (1993); Dickinson (2004); Paterson and Ducea (2015); Yonkee and Weil (2015)
37,,Central America+Alaska+Cascade(Neogene-presetday),23,0,22,accretionary,Circum-Pacific,5900,5900,5900,,N. America,Pacific,,Burchfiel and Davis (1975); Anderson (1990); Armstrong and Ward (1993); Dickinson (2004); Paterson and Ducea (2015); Yonkee and Weil (2015)
38,,W. Pacific (Middle Permian-Triassic) ,270,200,70,accretionary,Circum-Pacific,2800,2800,2800,,Eurasia,Pacific,,Taira (2001); Sagone and Kwon (2005); Zhou et al. (2006); Wu et al. (20011); Li and Li (2007)
39,,W. Pacific (Jurassic) ,200,145,55,accretionary,Circum-Pacific,6000,6000,6000,,Eurasia,Pacific,,Taira (2001); Sagone and Kwon (2005); Zhou et al. (2006); Wu et al. (20011)
40,,W. Pacific (Cretaceous),145,66,79,accretionary,Circum-Pacific,6300,6300,6300,,Eurasia,Pacific,Okhotsk-Chukotka volcanic belt was active from 106-79 Ma,Taira (2001); Sagone and Kwon (2005); Zhou et al. (2006); Yin (2010); Wu et al. (2011); Tikhomirov et al. (2012)
41,,W. Pacific (Palegene),66,23,42,accretionary,Circum-Pacific,3800,3800,3800,,Eurasia,Pacific,,Taira (2001); Sagone and Kwon (2005); Zhou et al. (2006); Yin (2010); Wu et al. (2011); Tikhomirov et al. (2012)
42,,W. Pacific (Neogene-presetday),23,0,22,accretionary,Circum-Pacific,700,700,700,,Eurasia,Pacific,,Taira (2001); Sagone and Kwon (2005); Zhou et al. (2006); Yin (2010); Wu et al. (2011); Tikhomirov et al. (2012)
43,,Okhotsk-Chukotka,106,80,26,accretionary,Circum-Pacific,3500,3500,3500,,Eurasia,Pacific,,Tikhomirov et al. (2012)
