Continents,,Upper time,Lower time,average
Amazonia La Plata,,900,800,850
Siberia N. China,,900,800,850
Kalahari Laurentia,,900,900,900
Namaqua Natal orogen,,860,840,850
Kalahari Falkland plateau ,,860,840,850
Kalahari W. Congo ,,870,805,837.5
N. Africa Arabia/Nubia ,,840,780,810
East African orogen ,,840,780,810
Kalahari La Plata ,,830,770,800
Australia S. China ,,830,820,825
Katangan orogen ,,850,750,800
Kalahari E. Congo ,,820,800,810
Australia Laurentia ,,800,700,750
Avalonia Amazonia ,,800,750,775
Cadomia W. Africa ,,800,750,775
Carolina W. Africa ,,800,760,780
Laurentia S. China ,,800,700,750
Siberia Laurentia ,,700,600,650
Siberia Baltica ,,700,600,650
N. Gondwana terranes ,,500,450,475
N.W. Laurentia terranes ,,600,500,550
Africa Antarctica ,,200,180,190
Lhasa Gondwana ,,180,170,175
Africa India ,,180,170,175
W. Burma Gondwana_,,170,160,165
E. Gondwana W. Gondwana ,,140,120,130
India Australia/Antarctica ,,140,120,130
Siberia Laurentia (Arctic basin)_,,140,130,135
S. America N. America_,,140,120,130
S. America Africa ,,100,100,100
Greenland Canada ,,100,70,85
Australia/Antarctica New Zealand ,,100,90,95
Australia Antarctica,,50,40,45
 Greenland Baltica ,,50,40,45
India Seychelles_,,60,50,55
Arabia Africa_,,25,20,22.5
Japan Asia_,,60,50,55
Baja California Laurentia ,,4,3,3.5
,,,,
