Recorded age,Upper age,Lower age,Name,Location,Reference
5,7,3,Columbia River,North America,"Coble and Mahood, 2012"
30,32,28,Afro-Arabian,Arabian Pen. & Africa,"Beccaluva et al., 2009"
60,62,58,North Atlantic Igneous Province,Greenland/N. Canada & Europe (UK),"Jerram et al., 2009"
65,67,63,Deccan,India,"Hooper et al., 2010"
90,92,88,Caribbean-Colombian,Central America,"Hastie and Kerr, 2010"
90,92,88,Madagascar,Africa,"Ernst and Buchan, 2001"
90,92,88,HALIP,Circum-Arctic,"Jowitt et al., in press"
120,122,118,Whitsunday,Australia (east),"Pirajno and Hoatson, 2012"
130,132,128,Parana-Etendeka,South America & Africa,"Thiede and Vasconcelos, 2010"
130,132,128,Comei-Rajmahal,Greater India,"Zhu et al., 2009"
130,132,128,Bunbury,Australia (southwest margin),"Zhu et al., 2009"
140,142,138,Gascoyne Margin,Australia (northwest margin),"Pirajno and Hoatson, 2012"
180,182,178,"Karoo, Ferrar, Chon Aike","Africa, South America, Antarctica","Svensen et al., 2012"
200,202,198,CAMP,"North America, South America, Africa, Europe (Iberia)","Marzoli et al., 2011"
250,252,248,Siberia,Asia,"Sobolev et al., 2011"
260,262,258,Emeishan,Asia,"Ali et al., 2010"
280,282,278,Tarim,Asia,"Zhang and Zou, 2013--this issue"
280,282,278,Qiangtang,Asia (Tibet),"Zhai et al., 2013--this issue"
300,302,298,Jutland,Europe,"Kirstein et al., 2004"
320,322,318,Kennedy–Connors–Auburn,Australia (NE margin),"Pirajno and Hoatson, 2012"
380,382,378,Yakutsk,Siberia,"Kiselev et al., 2012"
380,382,378,Baltica- Kola Pen.,Baltica,"Ernst and Bell, 2010"
450,452,448,Suordakh,Siberia,"Khudoley et al., 2013--this issue"
510,512,508,Kalkarindji,Australia,"Pirajno and Hoatson, 2012"
540,542,538,Wichita,Laurentia,"Hanson et al., 2013--this issue"
560,562,558,"Central Iapetus- Sept Iles, Catoctin, Volyn",Laurentia (east) & Baltica,"Ernst and Bell, 2010"
560,562,558,Central Iapetus- Ouarzazate,West Africa,"Ernst and Bell, 2010"
590,592,588,Central Iapetus- Grenville,Laurentia (east) & Baltica,"Ernst and Bell, 2010"
615,617,613,"Central Iapetus- Long Range, Baltoscandian, Egersund",Laurentia (east) & Baltica,"Ernst and Bell, 2010"
725,727,723,Franklin,Laurentia (north),"Ernst et al., 2008"
725,727,723,Dovyren-Kingash,Siberia (south),"Ernst et al., 2012"
725,727,723,Mutare,Kalahari craton,"Ernst et al., 2008"
755,757,753,Mundine Well,Australia (northwest),"Ernst et al., 2008"
755,757,753,Malani,Greater India,"Ernst et al., 2008"
755,757,753,Shaba & Ogcheon,South China block,"Ernst et al., 2008"
780,782,778,Gunbarrel,Laurentia,"Ernst et al., 2008"
780,782,778,Kangding,South China block,"Ernst et al., 2008"
780,782,778,Kudi,Tarim craton,"Ernst et al., 2008"
780,782,778,Boucaut,Australia (south),"Ernst et al., 2008"
790,792,788,Gannakouriep,Kalahari craton (sw margin),"Rioux et al., 2010"
800,802,798,Rushinga group (and Magondi belt magmatism),Kalahari craton (northern margin),"Ernst et al., 2008"
800,802,798,Suxiong-Xiaofeng,South China block,"Ernst et al., 2008"
800,802,798,Niquelandia,São Francisco craton,"Correia et al., 2012"
820,822,818,Qiganbulake (Kuruketage),Tarim craton,"Ernst et al., 2008"
825,827,823,Willouran-Gairdner,Australia,"Ernst et al., 2008"
825,827,823,Guibei,South China block,"Ernst et al., 2008"
880,882,878,Iguerda-Taïfast,West African craton,"Kouyaté et al., 2013--this issue"
920,922,918,Gangil-Mayumbian,Congo craton,"Ernst et al., 2008"
920,922,918,Bahia,São Francisco craton,"Evans et al., 2010"
925,927,923,Dashigou,North China craton,"Peng et al., 2011"
975,977,973,Blekinge-Dalarna,Baltica,"Ernst et al., 2008"
1075,1077,1073,Warakurna,Australia,"Pirajno and Hoatson, 2012"
1090,1092,1088,SW USA Diabase Province,Laurentia,"Bright et al., 2011"
1110,1112,1108,Umkondo,Kalahari craton,"Ernst et al., 2008"
1110,1112,1108,GN,Congo craton,"Ernst et al., 2013"
1110,1112,1108,Rincon de Tigre,Amazonia,"Hamilton et al., 2012"
1110,1112,1108,Mahoba,Greater India,"Pradhan et al., 2012"
1115,1117,1113,Keweenawan,Laurentia,"Ernst et al., 2008"
1140,1142,1138,Abitibi,Laurentia,"Ernst et al., 2008"
1165,1167,1163,Late Gardar,Laurentia (Greenland),"Ernst et al., 2008"
1210,1212,1208,Marnda Moorn,Australia,"Pirajno and Hoatson, 2012"
1220,1222,1218,Protogine Zone,Baltica,"Ernst et al., 2008"
1240,1242,1238,Sudbury [dyke],Laurentia,"Ernst et al., 2008"
1250,1252,1248,Mealy-Seal Lake,Laurentia,"Ernst et al., 2008"
1250,1252,1248,Vestfold Hills-5,East Antarctica,"Ernst et al., 2008"
1270,1272,1268,Mackenzie,Laurentia,"Ernst et al., 2008"
1270,1272,1268,Harp,Laurentia,"Ernst et al., 2008"
1270,1272,1268,Central Scandinavian Dolerite Group,Baltica,"Ernst et al., 2008"
1320,1322,1318,Derim-Derim (Roper),North Australian craton,"Pirajno and Hoatson, 2012"
1320,1322,1318,Yanliao,North China craton,"Zhang et al., 2012b"
1380,1382,1378,Hart River-Salmon Arch,Laurentia,"Ernst et al., 2008"
1380,1382,1378,Midsommerso-Zig Zag Dal,Laurentia,"Ernst et al., 2008"
1380,1382,1378,Vestfold Hills-4,East Antarctica,"Ernst et al., 2008"
1380,1382,1378,Chieress,Siberia,"Ernst et al., 2008"
1380,1382,1378,1380 event,West African craton,"Söderlund et al., 2013--this issue"
1380,1382,1378,Kunene,Congo craton,"Ernst et al., 2013"
1380,1382,1378,Pilanesberg,Kalahari craton,"Ernst et al., 2008"
1380,1382,1378,Mashak,Baltica,"Puchkov et al., 2013--this issue"
1460,1462,1458,Tuna- Lake Ladoga,Baltica,"Ernst et al., 2008"
1460,1462,1458,West Bangemall-Edmund,North Australian craton,"Pirajno and Hoatson, 2012"
1470,1472,1468,Moyie,Laurentia,"Ernst et al., 2008"
1500,1502,1498,Brevik-Rjukan,Baltica,"Ernst et al., 2008"
1505,1507,1503,Kuonamka,Siberia,"Ernst et al., 2008"
